date,open,high,low,close,volume,vix,time,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,rsi_14,rsi_7,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,bb_position,atr,volume_sma_20,volume_ratio,return_1,return_5,return_10,return_20,resistance_1,support_1,dist_from_resistance,dist_from_support,pivot,r1,s1,r2,s2,vanna_support_1,vanna_support_1_strength,vanna_support_2,vanna_support_2_strength,vanna_support_3,vanna_support_3_strength,vanna_resistance_1,vanna_resistance_1_strength,vanna_resistance_2,vanna_resistance_2_strength,vanna_resistance_3,vanna_resistance_3_strength,dist_to_vanna_support,dist_to_vanna_resistance,near_vanna_support,near_vanna_resistance,vanna_strength_ratio,trend_strength,choppiness,volatility_rank,range_compression,avg_range,range_vs_avg,consecutive_up,consecutive_down,momentum_streak,hour,minute,day_of_week,market_open_30,market_close_30,avoid_time,optimal_hours,is_monday,is_friday,future_high,future_low,future_return,profit_target_hit,stop_loss_hit,trade_quality,expected_move_up,expected_move_down
2025-07-02,617.24,620.49,616.61,620.45,66510374,16.64,2025-07-02,616.546,616.0330991062992,608.673888,611.2626048580472,603.996944,604.5360989098946,585.1939776,590.6373327759404,,585.5569177432639,69.1705161679052,99.03381642512056,8.784374856254203,7.805117675181225,0.9792571810729784,603.996944,620.8773795847543,587.1165084152457,0.05589576487908293,0.9873409787736687,5.6349928571428665,75343588.0,0.8827609059446438,0.004533311746134583,0.021956120701014603,0.03835790671598094,0.04086631213407377,620.49,591.05,6.446933677163933e-05,0.04738496252719814,619.1833333333333,621.7566666666665,617.8766666666666,623.0633333333333,615.3033333333333,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-7.604480618905616,8.410347328551842,0,0,0.9856450062059492,19.081472593664436,32.92980303969263,0.0,0.006253525666854694,0.007921237714666457,0.789463199075072,1,0,2,0,0,2,0,0,0,0,0,0,631.54,617.87,0.013409622048513148,True,True,0,631.7199857142858,609.1800142857143
2025-07-03,622.45,626.28,622.43,625.34,51065789,16.38,2025-07-03,619.24,619.1353994041995,611.64,613.8221312474932,605.467444,606.517422823238,587.1557776,591.9982216866879,,585.9527693080075,70.64448269267547,98.94514767932466,9.376923037606957,8.119478747666372,1.2574442899405849,605.467444,624.3895074247706,586.5453805752294,0.06250398303751115,1.0251159863988497,5.749278571428574,75031167.5,0.6805943543394817,0.007881376420340036,0.022014480200042597,0.049793808368696846,0.04935143389324259,626.28,591.05,0.0015031822688456532,0.05483417021140512,624.6833333333334,626.9366666666668,623.0866666666668,628.5333333333334,620.8333333333334,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-6.76304090574726,7.562605942367338,0,0,0.9856450062059492,19.977244768980377,25.73228819776856,0.006101385967955938,0.006156650781974642,0.008022670173218813,0.7674066924160367,1,0,2,0,0,3,0,0,0,0,0,0,631.54,617.87,0.005628937857805383,True,True,0,636.8385571428572,613.8414428571429
2025-07-07,623.36,624.03,617.87,620.68,74814505,17.79,2025-07-07,620.394,619.6502662694663,614.28,615.0690164752217,606.8489440000001,607.8662396972153,588.8609776,593.1229973068179,,586.2983138920074,73.58565737051781,79.12371134020582,9.362572774705427,8.368097553074184,0.9944752216312427,606.8489440000001,625.9870536781566,587.7108343218435,0.06307371831945224,0.861348540493163,5.69213571428572,74150072.9,1.0089606398755138,-0.007451946141299293,0.00938348701435987,0.04442350407215456,0.04658966360340622,626.28,591.89,0.009022362570084461,0.04638461042727326,620.86,623.85,617.69,627.02,614.7,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-7.5646065605464985,8.370174647161178,0,0,0.9856450062059492,20.317609506261647,25.614775018348233,0.0032464172741861063,0.009924598827092816,0.00784863622451359,1.2644997861023786,0,1,0,0,0,0,0,0,0,0,1,0,634.21,618.05,0.021798672423793297,True,True,1,632.0642714285714,609.2957285714285
2025-07-08,621.35,622.11,619.52,620.34,59024585,16.81,2025-07-08,620.892,619.8801775129776,616.299,616.0273771160904,607.908944,609.0542168689091,590.3339776,594.1903307457662,,586.6370371368631,69.68345965225149,72.44303126656061,9.217511198076522,8.537980282074653,0.6795309160018697,607.908944,627.5899697229083,588.2279182770917,0.06474991334527336,0.8158132145910088,5.344992857142862,73771865.0,0.8000961477658183,-0.0005477862988978455,0.0040301043942705395,0.03364158960259944,0.03538405047234372,626.28,591.89,0.009575394138698037,0.04586194667440443,620.6566666666668,621.7933333333335,619.2033333333335,623.2466666666668,618.0666666666667,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-7.623561272850359,8.429570880484881,0,0,0.9856450062059492,21.4258026673833,24.68429714044506,0.0,0.00417512976754688,0.007726084504458846,0.5403940074868903,0,1,0,0,0,1,0,0,0,0,0,0,636.15,618.05,0.022697230550988046,True,True,1,631.0299857142858,609.6500142857143
2025-07-09,622.77,624.72,620.9105,624.06,66113326,15.94,2025-07-09,622.1740000000001,621.2734516753185,618.027,617.4878540040739,609.1279440000001,610.4833390718701,591.8023776,595.3616903243636,,587.009404926546,80.54340317752698,73.40153452685408,9.295568239770887,8.6894978736139,0.6060703661569864,609.1279440000001,629.6644329363836,588.5914550636165,0.06742914732010237,0.863549388755189,5.234992857142864,74426710.4,0.888301063484864,0.0059967114808006095,0.010378045818829396,0.02847819638089577,0.040655016008537936,626.28,591.89,0.003557350254783238,0.05154953049386271,623.2301666666666,625.5498333333333,621.7403333333332,627.0396666666667,619.4206666666665,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-6.9820209595231235,7.783225971861681,0,0,0.9856450062059492,24.858336833580275,24.000091933538066,0.0,0.006104380989007581,0.007801180821785427,0.7824944874961243,1,0,2,0,0,2,0,0,0,0,0,0,637.5799,618.05,0.02089542672178979,True,True,1,634.5299857142857,613.5900142857142
2025-07-10,624.2,626.8701,623.01,625.82,57528960,15.78,2025-07-10,623.2479999999999,622.7889677835458,619.8969999999999,619.0027896396969,610.264944,611.9439734459777,593.3017776,596.5561338410553,,587.3955800019038,84.77376434277932,71.69297768100157,9.391190500474295,8.829836398985979,0.5613541014883161,610.264944,631.8811746056911,588.648713394309,0.07084211806107298,0.859800380643255,5.171428571428578,73990809.75,0.7775149399550936,0.0028202416434319755,0.008655008461600389,0.030801159573066395,0.037706440273263864,626.8701,591.89,0.001677958518423715,0.054216867469879616,625.2333666666667,627.4567333333334,623.5966333333334,629.0934666666667,621.3732666666667,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-6.681154325524894,7.480106100795739,0,0,0.9856450062059492,28.49383183801505,22.83134214260412,0.0,0.006168067495445956,0.0077464482941898795,0.7962445834786289,1,0,2,0,0,3,0,0,0,0,0,0,638.04,618.05,0.017768687482023537,True,True,0,636.1628571428572,615.4771428571429
2025-07-11,622.74,624.86,621.53,623.62,63670226,16.4,2025-07-11,622.904,623.0659785223638,621.0719999999999,619.8422824324792,611.3779440000001,613.0559759749322,594.6877776,597.6174619257198,,587.7560219919346,83.23516085183495,64.65390279823268,9.183587536632558,8.900586626515295,0.2830009101172628,611.3779440000001,633.3529340171823,589.4029539828178,0.07188676082558261,0.7785452004853674,5.006428571428581,73491409.8,0.866362833061341,-0.0035153878111917614,-0.0027505037259730747,0.019203425564253918,0.03701609684714646,626.8701,591.89,0.005211667361534228,0.05088034379910846,623.3366666666666,625.1433333333332,621.8133333333332,626.6666666666666,620.0066666666665,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-7.057502966550134,7.859273275392057,0,0,0.9856450062059492,32.91533354834905,20.840860059090573,0.0,0.005339790256887272,0.007532029000329443,0.7089444632586671,0,1,0,0,0,4,0,0,0,0,0,1,638.67,618.05,0.018665212789839902,True,True,1,633.6328571428571,613.6071428571429
2025-07-14,623.16,625.1581,621.7999,624.81,51898518,17.2,2025-07-14,623.73,623.6473190149093,622.062,620.7455038083921,612.430944,614.1754068344624,596.0931776,598.6838359678485,,588.1247182905224,81.24683223517471,61.62046908315539,9.01120814858973,8.922710930930183,0.08849721765954754,612.430944,634.880111390175,589.9817766098249,0.07331166920976166,0.7757130316872628,4.62844285714287,72879885.55,0.7121103114849774,0.0019082133350436514,0.0066539923954371805,0.016099917061033198,0.034881987577639606,626.8701,591.89,0.0032971623373506094,0.05268801715721573,623.9226666666667,626.0454333333334,622.6872333333334,627.2808666666667,620.5644666666667,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-6.853603495462622,7.653846769417905,0,0,0.9856450062059492,37.552928345995305,32.51741812564867,0.0,0.0053747539251932765,0.007450456137582895,0.7213993111215032,1,0,1,0,0,0,0,0,0,0,1,0,638.67,618.05,0.015444695187337043,True,True,0,634.0668857142857,615.5531142857142
2025-07-15,627.52,627.86,622.06,622.14,74317260,17.38,2025-07-15,624.0899999999999,623.1448793432728,622.491,620.9990485705025,613.687944,614.9339395168946,597.3665776,599.6036855377367,,588.4631788050447,71.63380281690135,40.32648125755728,8.560469788743148,8.850262702492776,-0.28979291374962735,613.687944,635.2987846476325,592.0771033523675,0.07042941240387955,0.6955513007987941,4.492735714285727,72120448.75,1.0304603103291146,-0.004273299082921178,0.0029016345874841587,0.006943432872056343,0.04211055276381903,627.86,591.89,0.009194072073809798,0.0486224965441862,624.02,625.98,620.18,629.82,618.2199999999999,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-7.312180538142535,8.115858166972059,0,0,0.9856450062059492,41.61943564218573,35.32519969538801,0.0,0.009322660494422588,0.007383088324783085,1.2627047225114278,0,1,0,0,0,1,0,0,0,0,0,0,639.85,618.05,0.015977111261131105,True,True,1,631.1254714285715,613.1545285714285
2025-07-16,623.74,624.73,618.05,624.22,88987511,17.16,2025-07-16,624.122,623.5032528955153,623.1479999999999,621.5846761031385,614.764944,615.8183262295713,598.5157776,600.5690312029236,,588.8189680706662,72.95918367346934,62.67908309455622,8.275697913778004,8.735349744749822,-0.4596518309718185,614.764944,636.2122397519613,593.3176482480387,0.06977397121056822,0.7204253652616176,4.750592857142871,72570618.05,1.2262195553948434,0.003343298935930994,0.0002563856039483614,0.010637092204322851,0.03574035972655487,627.86,591.89,0.005831277434237907,0.05179263721123969,622.3333333333334,626.6166666666668,619.9366666666667,629.0133333333334,615.6533333333333,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-6.954599339976278,7.755598987536433,0,0,0.9856450062059492,44.34924602544567,42.80164445108029,0.03825895270091275,0.010701355291403774,0.007567223587859942,1.414171943930916,1,0,2,0,0,2,0,0,0,0,0,0,639.85,619.29,-0.004004998237800761,True,True,1,633.7211857142858,614.7188142857143
2025-07-17,624.4,628.4048,624.18,628.04,68885683,16.52,2025-07-17,624.566,625.0155019303436,623.9069999999999,622.7583713571132,616.290444,616.9822951600883,599.8063776,601.6463240969266,,589.2092270948386,72.26659322500679,72.07568807339437,8.263005442921667,8.640880884384192,-0.3778754414625247,616.290444,636.8999801867802,595.6809078132197,0.06688254340928981,0.7850514415636535,4.681650000000023,71904433.95,0.9580171794120632,0.006119637307359538,0.0035473458822024018,0.012233056652429575,0.051060197814335684,628.4048,591.89,0.0005808547226292263,0.05756002802369273,626.8749333333334,629.5698666666668,625.3450666666668,631.0997333333335,622.6501333333333,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-6.3040570664288875,7.100184701611361,0,0,0.9856450062059492,45.55978240551552,46.899576666531516,0.028029716926143894,0.006726960066237936,0.0074860193343813854,0.8986030847319237,1,0,2,0,0,3,0,0,0,0,0,0,639.85,619.29,0.00498375899624226,True,True,1,637.4033000000001,618.6766999999999
2025-07-18,629.3,629.47,626.46,627.58,65621645,16.41,2025-07-18,625.358,625.8703346202291,624.131,623.6350311103653,617.8855,617.991600382937,601.1819776,602.6633309950864,,589.5910258302134,68.78150014823609,62.41184767277895,8.122200738485276,8.53714485520441,-0.4149441167191341,617.8855,636.6320651309966,599.1389348690034,0.060679738012938,0.7585673677352937,4.499507142857169,71355264.75,0.9196468575922423,-0.0007324374243677934,0.006350020846028093,0.00358205136405787,0.053554223711943516,629.47,591.89,0.003011568246279337,0.05686924376175157,627.8366666666667,629.2133333333334,626.2033333333334,630.8466666666667,624.8266666666667,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-6.38197520634818,7.17868638261256,0,0,0.9856450062059492,46.077685852427784,52.74109945621085,0.0010966307523972956,0.004796201281111557,0.007327124646641835,0.6545816418326867,0,1,0,0,0,4,0,0,0,0,0,1,639.85,619.29,0.0006214347174862134,True,True,0,636.5790142857144,618.5809857142857
2025-07-21,628.77,631.54,628.34,628.77,63374984,16.65,2025-07-21,626.15,626.8368897468195,624.9399999999999,624.5686618175715,619.61,619.0181146321811,602.5343776,603.6871219364556,,589.9808663692163,67.07317073170731,60.83761939750176,8.014251745112347,8.432566233185998,-0.41831448807365135,619.61,635.3117250141895,603.9082749858105,0.05068260684685364,0.7916876964703613,4.474507142857159,69821445.25,0.9076721882951857,0.0018961725995090273,0.0063379267297258846,0.01303409164142555,0.058036615736689834,631.54,591.89,0.004405426467547723,0.0586541978783975,629.5500000000001,630.7600000000001,627.5600000000002,632.75,626.3500000000001,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-6.1806383892361225,6.9758417227284975,0,0,0.9856450062059492,46.1861032846034,48.135027417651585,0.0,0.005089301334351085,0.007026295912457454,0.7243220891576564,1,0,5,0,0,0,0,0,0,0,1,0,639.85,619.29,0.006377530734608783,True,True,1,637.7190142857143,619.8209857142857
2025-07-22,629.1,629.73,626.19,628.86,60046288,16.5,2025-07-22,627.494,627.511259831213,625.792,625.3489051234676,621.0455,619.9554370481638,603.8103776,604.674293625222,,590.3677234202689,67.58707248195807,72.78260869565267,7.8455253059156576,8.31515804773193,-0.4696327418162731,621.0455,634.3178891872192,607.7731108127807,0.0427420831073383,0.7943893480581895,4.490935714285724,68452457.7,0.8771969629368033,0.00014313660002862605,0.010801427331468938,0.013734403714092291,0.0478380404898775,631.54,603.41,0.004261679865152737,0.04047005692841021,628.2600000000001,630.3300000000002,626.7900000000002,631.8000000000001,624.7200000000001,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-6.1654422287949515,6.960531755875701,0,0,0.9856450062059492,45.95850450387217,50.957546237697095,0.0029977933634057355,0.005629233851731647,0.006587104435003216,0.8545839689163663,1,0,5,0,0,1,0,0,0,0,0,0,639.85,619.29,0.005390706993607441,True,True,0,637.8418714285715,619.8781285714285
2025-07-23,631.55,634.21,629.73,634.21,70511036,15.37,2025-07-23,629.492,629.7441732208088,626.807,626.9600132828372,622.417,621.3130144721482,605.2077776,605.8325566203114,,590.8039649782762,69.98837884950618,80.0127713920823,8.050705157759694,8.262267469737484,-0.21156231197779007,622.417,635.1401394669284,609.6938605330716,0.04088300758793024,0.9634469358232645,4.595935714285726,68591244.85,1.0279888658413816,0.008507457939764151,0.016003972958251955,0.016264461750472803,0.045205840667128294,634.21,605.54,0.0,0.04520584664385625,632.7166666666667,635.7033333333334,631.2233333333334,637.1966666666667,628.2366666666667,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-5.269863294492346,6.058245691490186,0,0,0.9856450062059492,46.10930151711887,47.932777595268,0.022157603120832457,0.007063906277100673,0.006574442271683649,1.0744495099645428,1,0,5,0,0,2,0,0,0,0,0,0,639.85,619.29,0.004682991438166972,True,True,1,643.4018714285714,625.0181285714286
2025-07-24,634.6,636.15,633.99,634.42,71307134,15.39,2025-07-24,630.7679999999999,631.3027821472058,627.667,628.3163745041395,623.7819999999999,622.5612988081341,606.2363776000001,606.9536328312796,,591.2379553765023,65.26563550773369,96.51515151515206,8.136464811965084,8.237106938183004,-0.10064212621792024,623.7819999999999,635.4053079810021,612.1586920189977,0.03726721188172214,0.9576149929687569,4.333792857142872,69050863.2,1.0326754901450674,0.0003311206067388994,0.010158588624928244,0.013741970534658421,0.04496639873501107,636.15,608.37,0.002726900160776801,0.04106112669840162,634.8533333333334,635.7166666666667,633.5566666666667,637.0133333333333,632.6933333333334,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-5.2350178115444015,6.023139245294914,0,0,0.9856450062059492,45.047693832792845,42.55896378395343,0.0,0.003404684593802163,0.006491843453541364,0.5244557448385287,1,0,5,0,0,3,0,0,0,0,0,0,639.85,619.29,0.0023643643012516424,True,True,1,643.0875857142858,625.7524142857142
2025-07-25,635.09,637.5799,634.84,637.1,56865364,14.93,2025-07-25,632.6719999999999,633.2351880981373,629.0150000000001,629.9133973215687,625.0435,623.9459370168832,607.2415776,608.1358433084844,,591.694294128975,79.57492795389086,96.66666666666718,8.324721352302959,8.254629821006995,0.07009153129596335,625.0435,636.699777775479,613.387222224521,0.03729749297602166,1.0171676684542885,4.025928571428584,67966713.35,0.8366649084113761,0.004224330884902816,0.015169380796073773,0.021615727526378192,0.041234249105202014,637.5799,610.83,0.0007532569455343424,0.041233715272327706,636.5066333333333,638.1732666666666,635.4333666666666,639.2465333333332,633.7667333333334,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-4.792340291947877,5.577146444828116,0,0,0.9856450062059492,45.72933935183615,37.67379589200788,0.0,0.004300580756553006,0.0063849086755257845,0.6735539966354901,1,0,5,0,0,4,0,0,0,0,0,1,642.85,619.29,0.008774132789201028,True,True,1,645.1518571428572,629.0481428571428
